Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,Yrs,event
50,1998,NBA,2,50,CHH,Andrew Betts,0,NA,NA,Cal State Long Beach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51,1998,NBA,2,51,MIA,Corey Brewer,0,NA,NA,Oklahoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52,1998,NBA,2,52,SAS,Derrick Dial\dialde01,22.192,G,us,Eastern Michigan University,2000,2004,82,8.4,3.1,1.6,0.8,0.3,0.1,0.372,0.404,0.19,0.672,0.6,5,1
53,1998,NBA,2,53,DAL,Greg Buckner\buckngr01,21.286,G,us,Clemson,2000,2009,570,19.1,5,2.8,1.3,0.8,0.2,0.45,0.496,0.334,0.757,20.9,10,1
54,1998,NBA,2,54,DEN,Tremaine Fowlkes\fowlktr01,22.079,F,us,Fresno State,2002,2005,103,12,2.9,2.2,0.5,0.5,0.1,0.409,0.426,0.2,0.791,2.1,4,1
55,1998,NBA,2,55,DEN,Ryan Bowen\bowenry01,22.222,F,us,Iowa,2000,2010,507,12.8,2.6,2.1,0.5,0.6,0.3,0.456,0.472,0.206,0.693,12.4,11,1
56,1998,NBA,2,56,VAN,J.R. Henderson\hendejr01,21.242,F,us,UCLA,1999,1999,30,11,3.2,1.6,0.7,0.3,0.1,0.365,0.363,0.4,0.556,-0.2,1,1
57,1998,NBA,2,57,UTA,Torraye Braggs\braggto01,22.045,F,us,Xavier,2004,2005,22,8.1,2.1,2.3,0.3,0.2,0.1,0.475,0.475,0,0.667,0.3,2,1
58,1998,NBA,2,58,CHI,Maceo Baston\bastoma01,23.032,F,us,Michigan,2003,2009,105,7.9,2.7,1.7,0.2,0.2,0.4,0.616,0.628,0.375,0.74,2.3,7,1
1,2003,NBA,1,1,CLE,LeBron James\jamesle01,18.182,F-G,us,NA,2004,2020,1208,38.6,27.1,7.4,7.3,1.6,0.8,0.504,0.548,0.343,0.736,228.4,17,0
2,2003,NBA,1,2,DET,Darko Miličić\milicda01,18.01,F-C,rs,NA,2004,2013,468,18.5,6,4.2,0.9,0.4,1.3,0.46,0.461,0,0.574,7.1,10,1
3,2003,NBA,1,3,DEN,Carmelo Anthony\anthoca01,19.032,F,us,Syracuse,2004,2019,1064,35.8,24,6.5,3,1,0.5,0.449,0.473,0.347,0.811,101,16,1
4,2003,NBA,1,4,TOR,Chris Bosh\boshch01,19.098,F-C,us,Georgia Tech,2004,2016,893,35.8,19.2,8.5,2,0.8,1,0.494,0.506,0.335,0.799,106,13,1
5,2003,NBA,1,5,MIA,Dwyane Wade\wadedw01,21.165,G,us,Marquette,2004,2019,1054,33.9,22,4.7,5.4,1.5,0.8,0.48,0.502,0.293,0.765,120.7,16,1
6,2003,NBA,1,6,LAC,Chris Kaman\kamanch01,21.064,C,us,Central Michigan University,2004,2016,735,26.7,11.2,7.6,1.3,0.4,1.3,0.489,0.49,0.042,0.743,24.6,13,1
7,2003,NBA,1,7,CHI,Kirk Hinrich\hinriki01,22.18,G,us,Kansas,2004,2016,879,30.7,10.9,2.9,4.8,1.1,0.3,0.411,0.432,0.375,0.8,52.5,13,1
8,2003,NBA,1,8,MIL,T.J. Ford\fordtj01,20.099,G,us,Texas,2004,2012,429,27.7,11.2,3.1,5.8,1.2,0.1,0.433,0.45,0.289,0.815,16.9,9,1
9,2003,NBA,1,9,NYK,Mike Sweetney\sweetmi01,20.249,F,us,Georgetown,2004,2007,233,15.5,6.5,4.5,0.6,0.3,0.5,0.485,0.485,0,0.689,7.8,4,1
10,2003,NBA,1,10,WAS,Jarvis Hayes\hayesja01,21.326,F,us,Georgia,2004,2010,427,23.2,8.3,3.1,1.1,0.7,0.1,0.415,0.444,0.356,0.798,10.2,7,1
11,2003,NBA,1,11,GSW,Mickaël Piétrus\pietrmi01,21.144,G-F,gp,NA,2004,2013,557,21.5,8.3,3.1,0.8,0.7,0.4,0.425,0.495,0.355,0.665,19.7,10,1
12,2003,NBA,1,12,SEA,Nick Collison\collini01,22.248,F,us,Kansas,2005,2018,910,20.4,5.9,5.2,1,0.5,0.5,0.534,0.542,0.208,0.723,44.5,14,1
13,2003,NBA,1,13,MEM,Marcus Banks\banksma01,21.224,G,us,UNLV,2004,2011,348,16,5.9,1.5,2.1,0.8,0.2,0.432,0.462,0.327,0.768,6.6,8,1
14,2003,NBA,1,14,SEA,Luke Ridnour\ridnolu01,22.138,G,us,Oregon,2004,2015,830,26.1,9.3,2.3,4.5,1,0.2,0.431,0.458,0.349,0.862,36,12,1
15,2003,NBA,1,15,ORL,Reece Gaines\gainere01,22.175,G,us,Louisville,2004,2006,71,8.5,1.7,0.7,0.7,0.2,0,0.324,0.336,0.269,0.606,-0.6,3,1
16,2003,NBA,1,16,BOS,Troy Bell\belltr01,22.233,G,us,Boston College,2004,2004,6,5.7,1.8,0.7,0.7,0.2,0,0.222,0.286,0,1,-0.2,1,1
17,2003,NBA,1,17,PHO,Žarko Čabarkapa\cabarza01,22.041,F,rs,NA,2004,2006,150,10.3,4.3,2.1,0.6,0.2,0.2,0.427,0.457,0.273,0.733,1.1,3,1
18,2003,NBA,1,18,NOH,David West\westda01,22.306,F-C,us,Xavier,2004,2018,1034,28.2,13.6,6.4,2.2,0.7,0.8,0.495,0.499,0.265,0.817,85.9,15,1
19,2003,NBA,1,19,UTA,Sasha Pavlović\pavloal01,19.228,G-F,me,NA,2004,2013,567,15.7,4.9,1.8,0.9,0.5,0.2,0.404,0.433,0.346,0.673,7,10,1
20,2003,NBA,1,20,BOS,Dahntay Jones\jonesda02,22.186,G-F,us,Duke,2004,2017,624,15.7,5.4,1.7,0.8,0.4,0.2,0.439,0.454,0.329,0.751,9.9,14,1
21,2003,NBA,1,21,ATL,Boris Diaw\diawbo01,21.076,F-C,fr,NA,2004,2017,1064,27,8.6,4.4,3.5,0.6,0.5,0.493,0.529,0.336,0.717,51.6,14,1
22,2003,NBA,1,22,NJN,Zoran Planinić\planizo01,20.292,G,ba,NA,2004,2006,148,10.7,3.8,1.3,1.1,0.4,0,0.405,0.447,0.289,0.677,1.5,3,1
